,ANO_BO,NUM_BO,BO_INICIADO,BO_EMITIDO,DATAOCORRENCIA,PERIDOOCORRENCIA,DATACOMUNICACAO,BO_AUTORIA,FLAGRANTE,LOGRADOURO,NUMERO,BAIRRO,CIDADE,UF,LATITUDE,LONGITUDE,DESCRICAOLOCAL,EXAME,SOLUCAO,DELEGACIA_NOME,DELEGACIA_CIRCUNSCRICAO,ESPECIE,RUBRICA,STATUS,PLACA_VEICULO,UF_VEICULO,CIDADE_VEICULO,DESCR_COR_VEICULO,DESCR_MARCA_VEICULO,ANO_FABRICACAO,ANO_MODELO,DESCR_TIPO_VEICULO
424,2017,736,2017-02-23 17:35:30,2017-02-23 18:12:40,2017-02-23 00:00:00,PELA MANHÃ,2017-02-23 00:00:00,Desconhecida,Não,AVENIDA MARCONDES DE BRITO,1200.0,VILA MATILDE,S.PAULO,SP,"-235,370,171,455,495","-465,284,435,210,969",Restaurante e afins,IC,APRECIAÇÃO DO DELEGADO TITULAR,66º D.P. JDIM ARICANDUVA,21º D.P. VILA MATILDE,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,FAJ0139,SP,S.PAULO,Prata,FIAT/UNO ECONOMY,2012.0,2012.0,AUTOMOVEL
438,2017,954,2017-02-23 17:00:19,2017-02-23 18:56:09,2017-02-23 00:00:00,A TARDE,2017-02-23 00:00:00,Conhecida,Sim,AVENIDA LEOVIGILDO DIAS VIEIRA,0.0,ITAGUÁ,UBATUBA,SP,"-23,435,339,469","-450,776,321,386,071",Via pública,,BO PARA FLAGRANTE,DEL.POL.UBATUBA,DEL.POL.UBATUBA,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,DTX3993,SP,UBATUBA,Prata,AUDI/A3 1.8,2006.0,2006.0,AUTOMOVEL
455,2017,683,2017-02-23 11:47:41,2017-02-23 19:28:23,2017-02-23 00:00:00,PELA MANHÃ,2017-02-23 00:00:00,Conhecida,Sim,RUA ANTONIO CARDOSO NOGUEIRA,100.0,JARAGUA,S.PAULO,SP,"-234,617,806,150,045","-467,534,879,255,924",Via pública,IC-IML,BO PARA FLAGRANTE,46º D.P. PERUS,46º D.P. PERUS,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,CRF9465,SP,S.PAULO,Branco,FIAT/UNO MILLE EX,1999.0,1999.0,AUTOMOVEL
470,2017,5616,2017-05-31 18:19:53,2017-05-31 18:52:18,2017-05-25 00:00:00,A NOITE,2017-05-31 00:00:00,Desconhecida,Não,RUA ÁLVARO DE MATOS,1409.0,PARQUE DA LIBERDADE,AMERICANA,SP,"-227,149,439,639,999","-4,735,974,012",Comércio e serviços,,BO PARA REGISTRO,DEL.SEC.AMERICANA PLANTÃO,01º D.P. AMERICANA,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,FXW5130,SP,AMERICANA,Branco,CHEVROLET/ONIX 1.0MT LS,2015.0,2015.0,AUTOMOVEL
508,2017,1860,2017-05-31 17:24:08,2017-05-31 20:43:33,2017-05-31 00:00:00,A TARDE,2017-05-31 00:00:00,Conhecida,Sim,RUA OURINHOS,188.0,AGUA RASA,S.PAULO,SP,"-235,661,414,573,187","-465,805,178,120,867",Via pública,,BO PARA FLAGRANTE,57º D.P. PARQUE DA MOOCA,57º D.P. PARQUE DA MOOCA,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,FIF9864,SP,S.PAULO,Azul,HONDA/CG 125 FAN ES,2013.0,2013.0,MOTOCICLO
518,2017,1055,2017-05-31 20:12:07,2017-05-31 20:51:32,2017-05-31 00:00:00,A NOITE,2017-05-31 00:00:00,Desconhecida,Não,,0.0,,,,,,Via pública,,BO PARA INVESTIGAÇÃO,DEL.POL.SOCORRO,DEL.POL.SOCORRO,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,LOA6038,SP,SOCORRO,Azul,VW/GOL 16V SPORT,2002.0,2002.0,AUTOMOVEL
566,2017,3773,2017-03-18 20:39:37,2017-03-18 21:06:17,2017-03-18 00:00:00,A TARDE,2017-03-18 00:00:00,Desconhecida,Não,RUA BENEDITO CIRINO SILVA FILHO,162.0,JARDIM IMPERIAL,SOROCABA,SP,"-2,348,825,829","-474,784,616,969,999",Area não ocupada,IC,ENCAMINHAMENTO DP ÁREA DO FATO,PLANTÃO DE SOROCABA - Z. NORTE,04º D.P. SOROCABA,Localização e/ou Devolução,Localização/Apreensão de veículo,Consumado,EIR1604,SP,SOROCABA,Preta,GM/ASTRA HB 4P ADVANTAGE,2009.0,2010.0,AUTOMOVEL
617,2017,3206,2017-03-19 00:39:14,2017-03-19 01:10:54,2017-03-18 00:00:00,A NOITE,2017-03-19 00:00:00,Conhecida,Não,AVENIDA SÃO JOSÉ DO RIO PRETO,0.0,ELDORADO PARTE 4,S.JOSE DO RIO PRETO,SP,"-20,793,147,565","-494,001,079,139,999",Via pública,,ENCAMINHAMENTO DP ÁREA DO FATO,DEL.SEC.S.J RIO PRETO PLANTÃO,06º D.P. S.JOSE RIO PRETO,Localização e/ou Devolução,Localização/Apreensão de veículo,Consumado,EHQ1627,SP,S.JOSE DO RIO PRETO,Preta,HONDA/CG 125 FAN ES,2009.0,2009.0,MOTOCICLO
628,2017,2307,2017-03-18 21:00:18,2017-03-19 02:33:46,2017-03-18 00:00:00,A NOITE,2017-03-18 00:00:00,Conhecida,Sim,AVENIDA SAO MIGUEL,5560.0,ERMELINO MATARAZZO,S.PAULO,SP,"-235,068,911,491,162","-464,781,974,515,581",Via pública,IC-IML,BO PARA FLAGRANTE,24º D.P. PONTE RASA,62º D.P. ERMELINO MATARAZZO,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,BYC9742,SP,S.PAULO,Branco,GM/MONZA GL,1994.0,1995.0,AUTOMOVEL
634,2017,2834,2017-03-19 02:47:27,2017-03-19 03:11:23,2017-03-18 00:00:00,DE MADRUGADA,2017-03-19 00:00:00,Desconhecida,Não,RUA JACOFER,616.0,LIMAO,S.PAULO,SP,"-23,506,141,408,805","-466,771,634,088,305",Comércio e serviços,IC,ENCAMINHAMENTO DP ÁREA DO FATO,73º D.P. JACANA,40º D.P. VILA STA MARIA,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,EWO9652,SP,S.PAULO,Preta,I/HYUNDAI ELANTRA GLS,2012.0,2013.0,AUTOMOVEL
642,2017,1711,2017-03-19 01:52:36,2017-03-19 03:32:54,2017-03-19 00:00:00,DE MADRUGADA,2017-03-19 00:00:00,Conhecida,Sim,,0.0,,,,,,Residência,IC-IML,BO PARA FLAGRANTE,26º D.P. SACOMA,26º D.P. SACOMA,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,FCP8585,SP,S.PAULO,Cinza,FIAT/PUNTO ATTRACTIVE,2012.0,2013.0,AUTOMOVEL
671,2017,2739,2017-07-19 14:17:49,2017-07-19 15:03:05,2017-07-18 00:00:00,EM HORA INCERTA,2017-07-19 00:00:00,Desconhecida,Não,RUA FRANCISCO CARDOSO DE ALMEIDA,217.0,JD PAULISTA,CAMPO LIMPO PAULISTA,SP,"-232,064,589,795,912","-467,847,458,887,835",Via pública,,APRECIAÇÃO DO DELEGADO TITULAR,DEL.POL.CAMPO LIMPO PAULISTA,DEL.POL.CAMPO LIMPO PAULISTA,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,CJY1176,SP,CAMPINAS,Azul,GM/CORSA SUPER,1996.0,1997.0,AUTOMOVEL
695,2017,1739,2017-07-19 15:24:05,2017-07-19 16:05:07,2017-07-18 00:00:00,EM HORA INCERTA,2017-07-19 00:00:00,Desconhecida,Não,RODOVIA SP 300,83.0,NOVA PINHAL,CABREUVA,SP,"-23,255,662,991","-471,009,579,609,999",Via pública,,ENCAMINHAMENTO DP ÁREA DO FATO,DEL.POL.SALTO,01º D.P. CABREÚVA,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,DPB6023,SP,RIBEIRAO PRETO,Prata,SR/FACCHINI SRF CF,2005.0,2005.0,SEMI-REBOQUE
709,2017,7067,2017-07-19 16:25:02,2017-07-19 16:35:06,2017-07-19 00:00:00,EM HORA INCERTA,2017-07-19 00:00:00,Desconhecida,Não,RUA JUA MIRIM,366.0,,S.PAULO,SP,"-23,585,841,586","-46,414,806,413",Via pública,,ENCAMINHAMENTO DP ÁREA DO FATO,49º D.P. SAO MATEUS,54º D.P. CID. TIRADENTES,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,ELK8525,SP,S.PAULO,Preta,I/HYUNDAI I30 2.0,2009.0,2010.0,AUTOMOVEL
717,2017,1528,2017-07-19 16:15:01,2017-07-19 17:02:52,2017-07-19 00:00:00,A TARDE,2017-07-19 00:00:00,Desconhecida,Não,RUA JOÃO TIBIRIÇÁ,99999.0,VILA NOVA,ITU,SP,"-232,777,323,879,999","-472,896,746,929,999",Via pública,,APRECIAÇÃO DO DELEGADO TITULAR,01º D.P. ITU,01º D.P. ITU,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,FFB4734,SP,ITU,Prata,FORD/FIESTA 1.6 FLEX,2012.0,2013.0,AUTOMOVEL
732,2017,1770,2017-07-19 14:09:31,2017-07-19 17:43:00,2017-07-19 00:00:00,EM HORA INCERTA,2017-07-19 00:00:00,Desconhecida,Não,,0.0,,,,,,Residência,IC,BO PARA INVESTIGAÇÃO,75º D.P. JARDIM ARPOADOR,75º D.P. JARDIM ARPOADOR,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,BKW2758,SP,S.PAULO,Vermelho,FIAT/ELBA CSL 1.6,1992.0,1993.0,AUTOMOVEL
775,2017,3507,2017-11-11 23:51:51,2017-12-11 00:10:26,2017-11-11 00:00:00,A NOITE,2017-11-11 00:00:00,Desconhecida,Não,RUA PROFESSOR SYLAS BALTAZAR DE ARAUJO,371.0,SACOMA,S.CAETANO DO SUL,SP,"-236,328,002,113,222","-465,909,049,167,532",Via pública,IC,ENCAMINHAMENTO DP ÁREA DO FATO,DEL.POL.S.CAETANO DO SUL,95º D.P. HELIÓPOLIS,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,FMB2770,SP,S.PAULO,Branco,CHEVROLET/CRUZE LT HB,2015.0,2015.0,AUTOMOVEL
781,2017,4428,2017-11-11 20:48:23,2017-12-11 00:22:52,2017-11-11 00:00:00,A NOITE,2017-11-11 00:00:00,Conhecida,Não,AVENIDA ALFREDO CRESTANA,233.0,JUNDIAPEBA,MOGI DAS CRUZES,SP,"-235,466,085,049,629","-462,474,834,046,666",Via pública,IC,ENCAM FEBEM/V.INFAN.JUVENTUDE,02º D.P. MOGI DAS CRUZES,04º D.P. MOGI DAS CRUZES,Localização e/ou Devolução,Localização/Apreensão de objeto,Consumado,BQK7553,SP,S.PAULO,Verde,VW/GOL CL 1.8,1994.0,1994.0,AUTOMOVEL
812,2017,9861,2017-12-11 04:06:08,2017-12-11 05:02:37,2017-12-11 00:00:00,DE MADRUGADA,2017-12-11 00:00:00,Conhecida,Não,AVENIDA DEPUTADO EMILIO CARLOS,2900.0,LIMAO,S.PAULO,SP,"-234,841,387,077,221","-466,740,070,125,814",Via pública,IC,ENCAM FEBEM/V.INFAN.JUVENTUDE,13º D.P. CASA VERDE,40º D.P. VILA STA MARIA,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,HDS0537,SP,S.PAULO,Verde,YAMAHA/YBR 125K,2006.0,2007.0,MOTOCICLO
821,2017,8416,2017-12-11 02:02:04,2017-12-11 05:49:43,2017-11-11 00:00:00,A TARDE,2017-12-11 00:00:00,Conhecida,Não,RUA PIRACICABA,0.0,VL DOLORES,ITAQUAQUECETUBA,SP,"-234,903,905,199,999","-463,612,725,949,999",Via pública,IC,BO PARA INQUÉRITO,DEL.POL.ITAQUAQUECETUBA,DEL.POL.ITAQUAQUECETUBA,Localização e/ou Devolução,Localização/Apreensão de veículo,Consumado,LKN5349,SP,ITAQUAQUECETUBA,Vermelho,JTA/SUZUKI EN125 YES,2007.0,2008.0,MOTOCICLO
829,2017,6429,2017-12-11 01:29:20,2017-12-11 06:05:34,2017-10-11 00:00:00,A NOITE,2017-12-11 00:00:00,Conhecida,Sim,RUA ITAVERAVA,0.0,MACEDO,GUARULHOS,SP,"-234,668,692,854,814","-465,237,580,227,037",Via pública,IC-IML,BO PARA FLAGRANTE,01º D.P. GUARULHOS,01º D.P. GUARULHOS,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,CCE1168,SP,S.PAULO,Azul,FIAT/UNO MILLE EP,1995.0,1995.0,AUTOMOVEL
835,2017,4655,2017-12-11 04:26:15,2017-12-11 06:07:39,2017-12-11 00:00:00,DE MADRUGADA,2017-12-11 00:00:00,Conhecida,Sim,RUA TREZE DE MAIO,0.0,ESTAÇÃO,ITAQUAQUECETUBA,SP,"-234,867,715,739,999","-463,464,587,569,999",Via pública,IC-IML,BO PARA FLAGRANTE,DEL.POL.FERRAZ DE VASCONCELOS,DEL.POL.ITAQUAQUECETUBA,Localização e/ou Devolução,Localização/Apreensão de veículo,Consumado,CEX6962,SP,S.PAULO,Branco,VW/GOL I PLUS,1996.0,1996.0,AUTOMOVEL
842,2017,3985,2017-12-09 11:04:30,2017-12-09 11:45:40,2017-10-09 00:00:00,A TARDE,2017-12-09 00:00:00,Desconhecida,Não,,0.0,,,,,,Residência,,ENCAMINHAMENTO DP ÁREA DO FATO,DEL.POL.VARZEA PAULISTA,04º D.P. JUNDIAI,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,GBB7328,SP,JUNDIAI,Cinza,FIAT/PALIO FIRE,2016.0,2016.0,AUTOMOVEL
922,2017,2163,2017-12-09 14:12:34,2017-12-09 15:01:42,2017-08-09 00:00:00,A TARDE,2017-12-09 00:00:00,Desconhecida,Não,AVENIDA ATLÂNTICA,505.0,CIBRATEL,ITANHAEM,SP,"-242,004,860,409,883","-468,148,758,302,441",Via pública,,BO PARA INVESTIGAÇÃO,02º D.P. ITANHAEM,02º D.P. ITANHAEM,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,CNW9270,SP,ITANHAEM,Vermelho,VW/GOL PLUS MI,1997.0,1998.0,AUTOMOVEL
931,2017,1926,2017-06-11 14:50:39,2017-06-11 15:16:54,2017-06-11 00:00:00,DE MADRUGADA,2017-06-11 00:00:00,Desconhecida,Não,,0.0,,,,,,Condominio Residencial,,APRECIAÇÃO DO DELEGADO TITULAR,04º D.P. SOROCABA,09º D.P. SOROCABA,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,DEG0653,SP,SOROCABA,Preta,HONDA/CBX 250 TWISTER,2002.0,2003.0,MOTOCICLO
949,2017,5998,2017-06-11 15:08:45,2017-06-11 15:46:15,2017-03-11 00:00:00,A TARDE,2017-06-11 00:00:00,Desconhecida,Não,RUA TEODORO SAMPAIO,0.0,JARDIM PAULISTA,S.PAULO,SP,"-23,553,905,495","-466,714,725,109,999",Via pública,,ENCAMINHAMENTO DP ÁREA DO FATO,91º D.P. CEASA,23º D.P. PERDIZES,Localização e/ou Devolução,Localização/Apreensão e Entrega de veículo,Consumado,APM6937,SP,EMBU DAS ARTES,Prata,GM/CELTA 4P SUPER,2007.0,2008.0,AUTOMOVEL
964,2017,2780,2017-06-11 15:16:05,2017-06-11 16:08:56,2017-05-11 00:00:00,A NOITE,2017-06-11 00:00:00,Conhecida,Não,RUA ALEXANDRE DOS SANTOS PIRES,651.0,MATAO,MATAO,SP,"-216,243,289,849,999","-483,514,166,355",Via pública,,BO PARA ADENDO,DEL.POL.MATÃO,DEL.POL.MATÃO,Localização e/ou Devolução,Localização/Apreensão de objeto,Consumado,DHA5019,SP,MATAO,Preta,HONDA/CBX 250 TWISTER,2002.0,2002.0,MOTOCICLO
